Test Type,RMSE,DTW avg values
Beef with 11 segments for 8 permutations and nobottleneck,0.617706193154002,72.4703328551977
Beef with 11 segments for 9 permutations and nobottleneck,0.653120788644482,68.6981134850422
Beef with 11 segments for 10 permutations and nobottleneck,0.570252508697183,61.7646046557482
Beef with 11 segments for 11 permutations and nobottleneck,0.44859965717439,53.5859305398246
Beef with 12 segments for 1 permutations and bottleneck,0.994969064015335,126.530976236773
Beef with 12 segments for 1 permutations and nobottleneck,1.0030910637469,105.743401501016
Beef with 12 segments for 2 permutations and nobottleneck,0.827117094718745,88.2952098500091
Beef with 12 segments for 3 permutations and nobottleneck,0.70372801976325,62.4520578427545
Beef with 12 segments for 4 permutations and nobottleneck,0.721943390099966,74.7289358882175
Beef with 12 segments for 5 permutations and nobottleneck,0.640491010136151,74.2453581703726
Beef with 12 segments for 6 permutations and nobottleneck,0.60864321652634,65.7651547653476
Beef with 12 segments for 7 permutations and nobottleneck,0.558346160495344,65.0897491200244
Beef with 12 segments for 8 permutations and nobottleneck,0.544549325402673,59.3498160708371
Beef with 12 segments for 9 permutations and nobottleneck,0.565217259067597,64.0800335101125
Beef with 12 segments for 10 permutations and nobottleneck,0.567853114791811,65.48019590156
Beef with 12 segments for 11 permutations and nobottleneck,0.489663931231577,55.5329735043963
Beef with 12 segments for 12 permutations and nobottleneck,0.55547628713745,63.7488173423034
Beef with 13 segments for 1 permutations and bottleneck,1.04013914506179,177.706378350901
Beef with 13 segments for 1 permutations and nobottleneck,1.16988682810321,142.717774769166
Beef with 13 segments for 2 permutations and nobottleneck,0.815445667748508,77.793652471867
Beef with 13 segments for 3 permutations and nobottleneck,0.571968462913294,58.2907754437228
Beef with 13 segments for 4 permutations and nobottleneck,0.723081350303491,68.0097824815528
Beef with 13 segments for 5 permutations and nobottleneck,0.611051487478809,59.9967150491575
Beef with 13 segments for 6 permutations and nobottleneck,0.611430579791808,66.67821337211
Beef with 13 segments for 7 permutations and nobottleneck,0.683785326872513,73.6208497233533
Beef with 13 segments for 8 permutations and nobottleneck,0.54629632853837,59.1628322928233
Beef with 13 segments for 9 permutations and nobottleneck,0.632677231942295,56.9303962000247
Beef with 13 segments for 10 permutations and nobottleneck,0.571873008355957,57.1091776895485
Beef with 13 segments for 11 permutations and nobottleneck,0.412716277052786,51.1116770177085
Beef with 13 segments for 12 permutations and nobottleneck,0.514465508215703,54.5254771555051
Beef with 13 segments for 13 permutations and nobottleneck,0.429140384158337,49.3147333923775
Beef with 14 segments for 1 permutations and bottleneck,0.926537268504488,112.391352197616
Beef with 14 segments for 1 permutations and nobottleneck,0.835124225474189,98.9836517982616
Beef with 14 segments for 2 permutations and nobottleneck,0.760380161744726,81.6429350500723
Beef with 14 segments for 3 permutations and nobottleneck,0.569423429695211,63.3027701209694
Beef with 14 segments for 4 permutations and nobottleneck,0.582735417805263,65.7236196431294
Beef with 14 segments for 5 permutations and nobottleneck,0.657792822251865,72.43902301696
Beef with 14 segments for 6 permutations and nobottleneck,0.554808559811291,58.9077303797323
Beef with 14 segments for 7 permutations and nobottleneck,0.607307065813937,60.0872993223557
Beef with 14 segments for 8 permutations and nobottleneck,0.521519409354567,57.51626121857
Beef with 14 segments for 9 permutations and nobottleneck,0.515419410149447,55.7726730373692
Beef with 14 segments for 10 permutations and nobottleneck,0.574682207596756,51.5307130711522
Beef with 14 segments for 11 permutations and nobottleneck,0.452706230022138,47.4245489557981
Beef with 14 segments for 12 permutations and nobottleneck,0.53671622638024,48.886954475146
Beef with 14 segments for 13 permutations and nobottleneck,0.524861677758864,56.8525343684545
Beef with 14 segments for 14 permutations and nobottleneck,0.453355378067314,47.868052540093
Beef with 15 segments for 1 permutations and bottleneck,0.935654666048244,114.569447839015
Beef with 15 segments for 1 permutations and nobottleneck,0.73798148161131,86.0837519191107
Beef with 15 segments for 2 permutations and nobottleneck,0.686658317744799,80.8780514830627
Beef with 15 segments for 3 permutations and nobottleneck,0.647180419657528,63.7235840161854
Beef with 15 segments for 4 permutations and nobottleneck,0.661473205496254,63.8199254192976
