Test Type,RMSE,DTW min values,DTW max values,DTW avg values,DTW range values,min index,max index,DTW min values by class,DTW max values by class,DTW avg values by class,DTW range values by class,min index by class,max index by class
Beef with 13 segments for 1 permutations and nobottleneck,1.16988682810321,68.4895722458866,237.367582086928,142.717774769166,168.878009841041,20,11,"[126.11170976652883, 99.43783013897853, 78.78366354632253, 68.48957224588662, 90.4326671723735]","[164.69229479128813, 237.36758208692794, 164.61776437883194, 228.24369161415694, 166.16576999989852]","[142.08716514590716, 164.81365475007408, 131.43571589753435, 143.4601555114213, 131.79218254089247]","[38.5805850247593, 137.9297519479494, 85.8341008325094, 159.75411936827032, 75.73310282752502]","[4, 8, 13, 20, 25]","[2, 11, 14, 19, 24]"
Beef with 13 segments for 2 permutations and nobottleneck,0.815445667748508,22.0085664277963,179.491566003056,77.793652471867,157.482999575259,28,25,"[47.49254943766031, 23.083057652869286, 26.554348470051746, 26.183811796605784, 22.00856642779627]","[178.83714779090107, 78.98852268051866, 77.38133535735979, 97.56769976972092, 179.49156600305554]","[115.49662393400445, 52.320182643339166, 52.45073926520235, 65.75592065376274, 102.94479586302634]","[131.34459835324077, 55.90546502764937, 50.82698688730804, 71.38388797311514, 157.48299957525927]","[0, 10, 16, 19, 28]","[1, 9, 13, 23, 25]"
Beef with 13 segments for 3 permutations and nobottleneck,0.571968462913294,20.5906422158322,207.631868448021,58.2907754437228,187.041226232189,28,9,"[31.295003162415185, 27.36893917017204, 23.957475639307166, 20.655067670135143, 20.590642215832208]","[127.26017569653906, 207.63186844802098, 54.71615323350491, 64.82780120430483, 88.95896218865917]","[88.53863330704485, 66.43507255277032, 41.028083151491714, 43.928213016204275, 51.52387519110288]","[95.96517253412388, 180.26292927784894, 30.758677594197746, 44.172733534169694, 68.36831997282697]","[5, 7, 17, 19, 28]","[3, 9, 12, 20, 25]"
Beef with 13 segments for 4 permutations and nobottleneck,0.723081350303491,27.6101943367346,170.831807183943,68.0097824815528,143.221612847208,27,2,"[42.371939700342466, 29.648979938946248, 39.16218129504645, 28.54734860220937, 27.610194336734622]","[170.83180718394271, 112.4241311093054, 90.90182332541416, 70.66630837067862, 68.53587379140377]","[108.40867799793095, 70.43856283837893, 67.75714587243267, 48.125897689848024, 45.318628009173665]","[128.45986748360025, 82.77515117035915, 51.739642030367705, 42.11895976846925, 40.92567945466915]","[0, 7, 16, 23, 27]","[2, 8, 12, 20, 25]"
Beef with 13 segments for 5 permutations and nobottleneck,0.611051487478809,18.8891614437469,175.47659914496,59.9967150491575,156.587437701213,28,2,"[30.34802337935799, 33.1547102615874, 22.117770674714173, 29.008467312727365, 18.889161443746946]","[175.47659914495983, 100.94594938469206, 99.2719563683738, 67.43832024343462, 55.82692005137103]","[89.1267307275253, 57.250534973809145, 57.198123353736925, 54.589681855125775, 41.81850433559028]","[145.12857576560185, 67.79123912310466, 77.15418569365963, 38.429852930707256, 36.93775860762409]","[0, 8, 13, 22, 28]","[2, 9, 15, 23, 24]"
Beef with 13 segments for 6 permutations and nobottleneck,0.611430579791808,20.7993698368912,195.613206869156,66.67821337211,174.813837032265,17,2,"[46.57968564179215, 23.442537191112805, 20.7993698368912, 23.11414626974864, 32.099773562415976]","[195.6132068691561, 80.49442371926884, 134.71403831091072, 90.64825454890455, 97.01333542871544]","[125.59166982156371, 44.52952411566755, 53.014996400335654, 53.009082640732565, 57.24579388225063]","[149.03352122736396, 57.05188652815603, 113.91466847401952, 67.5341082791559, 64.91356186629946]","[0, 7, 17, 19, 28]","[2, 9, 13, 18, 25]"
Beef with 13 segments for 7 permutations and nobottleneck,0.683785326872513,23.2476847190558,164.304868326456,73.6208497233533,141.0571836074,25,1,"[68.8413088632502, 37.71187847208456, 25.53039263380655, 36.45370173214872, 23.247684719055773]","[164.30486832645613, 108.63794706746177, 94.43631855515133, 105.21781491327164, 128.2721378126419]","[104.48069992859674, 69.32977239593272, 66.50133680150843, 53.598846165198175, 74.19359332553067]","[95.46355946320593, 70.92606859537722, 68.90592592134479, 68.76411318112292, 105.02445309358612]","[4, 6, 16, 23, 25]","[1, 9, 17, 18, 26]"
Beef with 13 segments for 8 permutations and nobottleneck,0.54629632853837,19.0792042973546,174.060832228975,59.1628322928233,154.98162793162,28,29,"[48.98472664435028, 20.546893972700556, 25.07386710685441, 22.57561906607912, 19.079204297354597]","[169.63892070467233, 94.07361800816457, 85.08792927038525, 57.95958569826178, 174.06083222897453]","[105.4317443464581, 41.485507898167974, 54.06161740327767, 35.109703232211544, 59.7255885840014]","[120.65419406032206, 73.52672403546401, 60.01406216353084, 35.38396663218266, 154.98162793161993]","[0, 6, 17, 19, 28]","[3, 9, 13, 21, 29]"
Beef with 13 segments for 9 permutations and nobottleneck,0.632677231942295,16.7257604375498,139.898841950688,56.9303962000247,123.173081513138,7,1,"[41.139494849695446, 16.725760437549784, 28.681889920275545, 20.619632526099156, 21.425587809742066]","[139.89884195068774, 82.58402592744997, 53.12073616493139, 89.62978750585738, 93.45683387641247]","[96.35093249465818, 54.85871767614421, 41.353568216966806, 44.56659827872221, 47.52216433363218]","[98.7593471009923, 65.85826548990019, 24.438846244655842, 69.01015497975823, 72.0312460666704]","[5, 7, 14, 23, 25]","[1, 9, 16, 19, 24]"
Beef with 13 segments for 10 permutations and nobottleneck,0.571873008355957,25.268192850947,127.207267121694,57.1091776895485,101.939074270747,7,1,"[37.51464232411177, 25.26819285094704, 29.651273632240134, 27.014564544640006, 40.47359725217217]","[127.2072671216942, 73.19101279181345, 84.18428416430721, 97.03747886065695, 80.32289991068183]","[82.76643315395627, 49.23031438991061, 47.3163027389883, 54.10415732987962, 52.128680835007465]","[89.69262479758243, 47.922819940866404, 54.53301053206708, 70.02291431601694, 39.84930265850966]","[0, 7, 12, 23, 29]","[1, 10, 17, 19, 25]"
Beef with 13 segments for 11 permutations and nobottleneck,0.412716277052786,27.4017248481898,163.004681781621,51.1116770177085,135.602956933431,26,1,"[40.54635444450625, 29.185784917244135, 27.751205094998618, 30.028537158478006, 27.401724848189836]","[163.0046817816212, 78.33560730506161, 69.99357573001193, 42.83917271315014, 36.768737916043065]","[91.54196272834962, 47.09154307831872, 47.7199230434085, 37.17663401504631, 32.02832222341956]","[122.45832733711495, 49.14982238781748, 42.24237063501331, 12.810635554672135, 9.367013067853229]","[4, 10, 14, 20, 26]","[1, 9, 17, 21, 29]"
Beef with 13 segments for 12 permutations and nobottleneck,0.514465508215703,19.5146507736086,143.485005546395,54.5254771555051,123.970354772787,19,7,"[35.2778950665658, 28.584214143633986, 26.63797031032961, 19.51465077360861, 33.72774094515583]","[127.31821255287525, 143.4850055463953, 43.57755375970125, 89.4550793484778, 68.25000167334002]","[78.93206490685098, 63.3403718891735, 34.49180682714242, 45.58805158713653, 50.275090567222094]","[92.04031748630945, 114.90079140276133, 16.939583449371643, 69.94042857486919, 34.52226072818419]","[0, 10, 16, 19, 27]","[2, 7, 13, 21, 29]"
Beef with 13 segments for 13 permutations and nobottleneck,0.429140384158337,18.1455359118339,160.704291018686,49.3147333923775,142.558755106853,17,4,"[55.05097435782287, 26.40600776409378, 18.14553591183385, 19.684120275558755, 30.260011269155786]","[160.70429101868643, 64.44301065337064, 50.42996439034335, 69.0323894772944, 55.294948815172454]","[91.46210734113225, 37.32351923207125, 39.0441047215132, 37.79976578919999, 40.94416987797097]","[105.65331666086357, 38.037002889276856, 32.2844284785095, 49.34826920173565, 25.034937546016668]","[1, 7, 17, 23, 28]","[4, 9, 13, 22, 26]"
Beef with 14 segments for 1 permutations and bottleneck,0.926537268504488,47.9762963473015,272.8079266115,112.391352197616,224.831630264199,16,1,"[94.59012584271552, 70.29472274826031, 47.9762963473015, 62.80926591411059, 63.97725588257989]","[272.80792661150036, 119.03907102118441, 160.73524620691066, 193.68435067662546, 111.55221653442933]","[178.29999513328775, 92.2060007523459, 86.39295390563363, 120.31818932114682, 84.73962187566426]","[178.21780076878485, 48.7443482729241, 112.75894985960916, 130.87508476251486, 47.574960651849445]","[5, 11, 16, 21, 26]","[1, 6, 14, 18, 24]"
Beef with 14 segments for 1 permutations and nobottleneck,0.835124225474189,40.7584954144253,222.015012078409,98.9836517982616,181.256516663984,17,1,"[72.99874936181789, 57.09320186638754, 40.758495414425326, 50.357495174231595, 71.51994266330665]","[222.01501207840903, 149.9141886808921, 132.76081309879103, 135.36341256475686, 158.63667307363795]","[137.6022653003259, 94.22242801179857, 74.28301934545367, 86.96041791814476, 101.85012841558496]","[149.01626271659114, 92.82098681450455, 92.0023176843657, 85.00591739052527, 87.1167304103313]","[0, 7, 17, 20, 24]","[1, 6, 13, 21, 29]"
Beef with 14 segments for 2 permutations and nobottleneck,0.760380161744726,13.3161586691429,168.005215208948,81.6429350500723,154.689056539805,25,18,"[54.05533420199058, 28.049477538958506, 18.33674802743881, 34.44096257909267, 13.316158669142911]","[160.06606385871638, 148.6327537990168, 114.20063254968314, 168.00521520894753, 122.25957533825999]","[108.50561787226637, 94.35375191133089, 66.09587061986544, 74.93639543495637, 64.32303941194256]","[106.0107296567258, 120.58327626005828, 95.86388452224432, 133.56425262985488, 108.94341666911708]","[0, 11, 13, 19, 25]","[3, 9, 16, 18, 29]"
Beef with 14 segments for 3 permutations and nobottleneck,0.569423429695211,19.4822547463153,140.831778700342,63.3027701209694,121.349523954027,22,1,"[28.913363563197066, 24.47227336360423, 40.93693257886983, 19.482254746315295, 23.460968510684648]","[140.83177870034248, 106.36621047003362, 77.60419070482237, 69.13714899661758, 111.79473642708226]","[88.08314324514053, 50.826704205804866, 57.3184807995867, 49.533172981553456, 70.75234937276171]","[111.91841513714542, 81.89393710642939, 36.66725812595254, 49.65489425030229, 88.3337679163976]","[0, 11, 16, 22, 28]","[1, 9, 17, 21, 27]"
Beef with 14 segments for 4 permutations and nobottleneck,0.582735417805263,24.7210618219549,157.606362306586,65.7236196431294,132.885300484631,19,1,"[54.79803529055699, 38.80492764117984, 27.462224286965203, 24.721061821954866, 63.44088455297281]","[157.60636230658633, 108.33342423143685, 90.70837894781083, 80.38170765374619, 96.908653312996]","[89.29468558487174, 54.91922665585229, 49.97672119335294, 57.05447382467262, 77.37299095689735]","[102.80832701602935, 69.52849659025702, 63.246154660845626, 55.66064583179133, 33.46776876002318]","[0, 8, 13, 19, 27]","[1, 9, 17, 23, 29]"
Beef with 14 segments for 5 permutations and nobottleneck,0.657792822251865,21.808101294789,161.330190695684,72.43902301696,139.522089400895,25,1,"[42.594128054106015, 43.06220505987074, 44.3336255726777, 23.39589460904322, 21.80810129478903]","[161.33019069568383, 122.92307983228069, 86.44510790567247, 143.47921743617516, 105.4176429084348]","[109.8948826532929, 68.64926631046005, 60.57466162215551, 53.57647649504318, 69.49982800384801]","[118.7360626415778, 79.86087477240994, 42.111482332994775, 120.08332282713194, 83.60954161364577]","[0, 11, 14, 19, 25]","[1, 6, 17, 21, 29]"
Beef with 14 segments for 6 permutations and nobottleneck,0.554808559811291,21.221316578715,144.485859501763,58.9077303797323,123.264542923048,25,6,"[60.07272060915554, 27.507093955353845, 31.96931441051872, 28.588909156022165, 21.221316578714973]","[114.11527864646278, 144.4858595017627, 76.34789130980423, 70.1091929579371, 53.68569406136404]","[90.4414917452362, 78.35374342804562, 49.56591293851557, 40.664084841294795, 35.513418945569406]","[54.042558037307245, 116.97876554640885, 44.378576899285505, 41.52028380191493, 32.46437748264907]","[1, 7, 15, 19, 25]","[3, 6, 14, 18, 24]"
Beef with 14 segments for 7 permutations and nobottleneck,0.607307065813937,24.6292888110367,139.438796863893,60.0872993223557,114.809508052856,29,3,"[25.694980793132423, 35.722116679740225, 28.99553744547994, 25.89680011101322, 24.629288811036695]","[139.43879686389317, 130.39597762042666, 64.27823030967404, 63.05282367015359, 57.559347466717206]","[91.93867072007197, 80.10646171180397, 44.58179618903392, 44.584971596452846, 39.2245963944159]","[113.74381607076074, 94.67386094068644, 35.282692864194104, 37.15602355914037, 32.93005865568051]","[0, 10, 15, 23, 29]","[3, 9, 17, 18, 25]"
Beef with 14 segments for 8 permutations and nobottleneck,0.521519409354567,18.1605024437901,192.685705998672,57.51626121857,174.525203554882,28,4,"[29.764577713635518, 43.61193907250273, 19.068989798688214, 29.32156200711062, 18.160502443790083]","[192.68570599867206, 93.48025902689679, 73.1177477171882, 77.49883065390442, 54.86803474786594]","[103.30058970008884, 62.05066357445774, 44.59139936426157, 41.70028958268849, 35.93836387135352]","[162.92112828503656, 49.86831995439406, 54.04875791849998, 48.1772686467938, 36.707532304075855]","[0, 7, 17, 19, 28]","[4, 9, 14, 21, 25]"
Beef with 14 segments for 9 permutations and nobottleneck,0.515419410149447,18.516939522504,160.25329977775,55.7726730373692,141.736360255246,28,2,"[50.58752952401916, 22.907901436624257, 21.84531556323602, 32.06511654537755, 18.51693952250395]","[160.2532997777504, 69.38231745795335, 77.47636714447799, 64.05136340948368, 47.148772929462396]","[93.03333099213302, 54.39620582553812, 53.77442140785596, 43.99399233758789, 33.66541462373121]","[109.66577025373125, 46.47441602132909, 55.63105158124197, 31.986246864106135, 28.631833406958446]","[0, 10, 12, 23, 28]","[2, 9, 14, 21, 29]"
Beef with 14 segments for 10 permutations and nobottleneck,0.574682207596756,15.9829562382785,110.106125333769,51.5307130711522,94.1231690954902,25,4,"[34.98220203275559, 24.110033671071257, 31.004946556364395, 25.553518537891456, 15.982956238278469]","[110.10612533376867, 52.181463714727876, 55.43336022951877, 74.7311022075412, 84.76982652854053]","[85.94374578090797, 36.62932839157303, 41.993205343730395, 43.3882522806444, 49.69903355890534]","[75.1239233010131, 28.07143004365662, 24.428413673154374, 49.17758366964974, 68.78687029026207]","[0, 10, 12, 21, 25]","[4, 9, 17, 22, 28]"
Beef with 14 segments for 11 permutations and nobottleneck,0.452706230022138,21.3389029257733,124.341141579786,47.4245489557981,103.002238654013,25,2,"[38.421576261944516, 27.167891884564984, 27.797622597906138, 27.194958382110478, 21.338902925773265]","[124.34114157978628, 95.77999786488371, 56.36008669938564, 69.48432451093045, 41.962723904318906]","[68.85808162046733, 46.348842815595106, 41.4802770453454, 46.915376930281916, 33.52016636730053]","[85.91956531784177, 68.61210598031873, 28.562464101479502, 42.28936612881997, 20.62382097854564]","[0, 6, 12, 23, 25]","[2, 9, 14, 18, 27]"
Beef with 14 segments for 12 permutations and nobottleneck,0.53671622638024,16.1489442898694,177.505852120063,48.886954475146,161.356907830193,17,12,"[38.375300072106526, 20.980243245204754, 16.148944289869434, 18.630836501277155, 23.497543036214722]","[116.08448147341362, 57.82033373035647, 177.5058521200627, 43.375528134869974, 74.48265872292906]","[75.36026323561416, 40.09997732688739, 54.403128596962404, 31.17403304776623, 43.3973701684998]","[77.70918140130709, 36.84009048515171, 161.35690783019328, 24.74469163359282, 50.98511568671434]","[0, 11, 17, 19, 26]","[3, 9, 12, 20, 24]"
Beef with 14 segments for 13 permutations and nobottleneck,0.524861677758864,24.1114742848256,164.244405373618,56.8525343684545,140.132931088792,24,1,"[46.99724915501217, 24.922932807552854, 30.213803229931028, 25.36927830328958, 24.11147428482558]","[164.24440537361752, 69.43815880975848, 62.999913113379925, 78.36582330281766, 84.50699850970432]","[99.11615126354235, 43.9295992128736, 47.60250291924251, 49.93189102782022, 43.68252741879388]","[117.24715621860535, 44.51522600220562, 32.7861098834489, 52.99654499952808, 60.39552422487874]","[0, 7, 13, 19, 24]","[1, 6, 15, 21, 29]"
Beef with 14 segments for 14 permutations and nobottleneck,0.453355378067314,21.3446806526017,177.941226217296,47.868052540093,156.596545564694,28,1,"[34.47891741484222, 27.5072053984412, 21.994312232372714, 26.23686844118501, 21.344680652601735]","[177.94122621729613, 53.32425345562358, 67.63253331982328, 68.78666309737355, 54.42659652920708]","[90.37896899692113, 39.38978715410189, 35.77143893545397, 41.90015763334619, 31.899909980641553]","[143.46230880245392, 25.817048057182376, 45.63822108745057, 42.54979465618854, 33.08191587660535]","[0, 8, 14, 23, 28]","[1, 9, 15, 18, 27]"
Beef with 15 segments for 1 permutations and bottleneck,0.935654666048244,49.8937200943406,262.858156514118,114.569447839015,212.964436419777,14,20,"[68.4987797826853, 72.77165422666417, 49.89372009434058, 83.10839973679268, 65.56268045540762]","[182.66231203400403, 161.76360152868466, 99.50147431418333, 262.8581565141175, 154.8723744918955]","[119.70233785742414, 134.5331229489123, 76.71097753708129, 133.9195316299935, 107.98126922166243]","[114.16353225131873, 88.99194730202049, 49.60775421984275, 179.74975677732485, 89.30969403648788]","[4, 11, 14, 21, 29]","[1, 9, 13, 20, 27]"
Beef with 15 segments for 1 permutations and nobottleneck,0.73798148161131,15.128438266332,235.708142167262,86.0837519191107,220.57970390093,11,4,"[27.07481603644822, 15.128438266332026, 41.39442957055602, 36.75382480029588, 36.73033905547452]","[235.70814216726188, 134.8508397596923, 125.05779615939053, 100.46151655683121, 83.65425277679537]","[145.81498922527572, 76.05748393709901, 69.05703888656895, 73.90955549458738, 65.57969205202222]","[208.63332613081366, 119.72240149336027, 83.66336658883452, 63.70769175653533, 46.92391372132085]","[0, 11, 15, 21, 25]","[4, 9, 13, 18, 26]"
Beef with 15 segments for 2 permutations and nobottleneck,0.686658317744799,22.2023375019533,177.229926127488,80.8780514830627,155.027588625535,10,1,"[78.97909114065783, 22.202337501953266, 45.970869927498036, 49.66241820371562, 32.07406926193064]","[177.2299261274878, 111.87962617030522, 104.73481020267612, 104.33499097263535, 105.51184254775973]","[125.56878736318079, 59.69645767696057, 64.17907133787719, 79.96893868851494, 74.97700234878002]","[98.25083498682997, 89.67728866835195, 58.76394027517808, 54.672572768919736, 73.43777328582908]","[4, 10, 17, 18, 25]","[1, 9, 15, 20, 29]"
Beef with 15 segments for 3 permutations and nobottleneck,0.647180419657528,22.7267463665541,142.922490520131,63.7235840161854,120.195744153577,17,3,"[36.67913505493835, 25.957592896607032, 22.726746366554128, 24.6250502903758, 37.72517738617898]","[142.92249052013105, 91.57726296281922, 78.50278792546732, 60.9177331293588, 99.23654528343684]","[98.73455783636227, 62.45505045343395, 54.31441245109315, 43.036873876127714, 60.07702546390973]","[106.2433554651927, 65.6196700662122, 55.77604155891319, 36.292682838983, 61.51136789725786]","[0, 7, 17, 22, 29]","[3, 9, 14, 20, 25]"
Beef with 15 segments for 4 permutations and nobottleneck,0.661473205496254,17.902527759748,139.085886509489,63.8199254192976,121.183358749741,26,1,"[30.639825232041026, 42.57964469058917, 36.08874591269778, 34.82268906602454, 17.902527759747965]","[139.08588650948917, 81.09790606528583, 101.26505187946097, 99.60547455173023, 104.70006522491846]","[95.05436696968256, 58.72333991861257, 58.725796230826326, 56.00047734182683, 50.59564663553982]","[108.44606127744814, 38.51826137469666, 65.17630596676318, 64.78278548570569, 86.79753746517049]","[5, 8, 14, 23, 26]","[1, 9, 17, 19, 29]"
Beef with 15 segments for 5 permutations and nobottleneck,0.65522494913177,27.1728449944615,136.494508811852,65.0007949681473,109.32166381739,17,3,"[58.35817260807495, 46.114987824863285, 27.172844994461517, 32.35136454799955, 46.277070889512665]","[136.49450881185163, 75.79122260225141, 84.47542814108556, 81.39734901543586, 81.66569551377361]","[98.55845130772042, 62.10572864471033, 48.071526791812715, 52.45877869524164, 63.80948940125119]","[78.13633620377668, 29.676234777388125, 57.302583146624045, 49.04598446743631, 35.38862462426095]","[0, 7, 17, 22, 27]","[3, 11, 13, 19, 25]"
Beef with 15 segments for 6 permutations and nobottleneck,0.59447417022581,23.9828150657702,222.112141809653,60.9348605250356,198.129326743882,28,2,"[43.09252273388407, 35.021311305022444, 33.06045995314024, 26.448712090332624, 23.982815065770193]","[222.11214180965254, 81.74997419225491, 83.86331436552527, 87.82386420179483, 81.54375506285936]","[103.60612673210596, 46.97549801378605, 58.93752939666539, 49.98022918778404, 45.17491929483634]","[179.01961907576847, 46.72866288723247, 50.80285441238503, 61.375152111462214, 57.560939997089164]","[0, 7, 12, 19, 28]","[2, 9, 14, 23, 29]"
Beef with 15 segments for 7 permutations and nobottleneck,0.557522017071209,24.8549521383456,134.1273390484,56.5761161019983,109.272386910054,16,2,"[52.10247524952352, 25.243329896314542, 24.85495213834557, 40.70340270719683, 25.68473621078783]","[134.12733904839953, 102.92935890395867, 76.15040312002232, 79.17413119202115, 78.82860639186681]","[83.6806959144155, 52.42768746485754, 44.68905644501285, 54.97426694921001, 47.10887373649566]","[82.02486379887601, 77.68602900764412, 51.29545098167675, 38.47072848482432, 53.14387018107898]","[1, 11, 16, 22, 24]","[2, 9, 12, 18, 29]"
Beef with 15 segments for 8 permutations and nobottleneck,0.502071654943829,23.5259928267292,149.84836231727,50.1486530932977,126.32236949054,17,1,"[36.84898235688375, 24.203613133810954, 23.52599282672924, 26.78266093972762, 23.66262107042145]","[149.84836231726962, 94.84537962040116, 47.46329183804017, 54.77522960575742, 40.607831876082294]","[93.83945569245668, 47.81743002478871, 36.507918171690584, 38.77340055783599, 33.8050610197166]","[112.99937996038587, 70.6417664865902, 23.93729901131093, 27.992568666029797, 16.945210805660842]","[5, 7, 17, 23, 26]","[1, 9, 15, 19, 24]"
Beef with 15 segments for 9 permutations and nobottleneck,0.525856756774286,18.7071070807077,123.575770861634,56.0365790052232,104.868663780927,19,3,"[44.167074515478845, 27.80884298570465, 22.080801041462163, 18.707107080707654, 19.2693282081427]","[123.5757708616343, 89.68843548159487, 103.71266829720624, 49.390136302197824, 66.94739492733069]","[89.88792644402888, 52.57162972915311, 53.35907578289581, 35.19522728962668, 49.16903578041138]","[79.40869634615545, 61.879592495890215, 81.63186725574407, 30.68302922149017, 47.678066719187996]","[0, 10, 17, 19, 28]","[3, 7, 14, 21, 29]"
Beef with 15 segments for 10 permutations and nobottleneck,0.488977465243113,20.2203690410767,111.774215712068,50.1872326804777,91.5538466709916,19,1,"[41.898388184515795, 22.578106252067627, 23.152878925261252, 20.220369041076673, 26.7245484134928]","[111.77421571206827, 77.10080340833959, 67.2024560651171, 48.383948953527344, 51.59745739401741]","[84.99535142729079, 43.39695292541097, 49.58676016820587, 34.0166828100155, 38.94041607146547]","[69.87582752755247, 54.52269715627196, 44.049577139855856, 28.163579912450672, 24.87290898052461]","[0, 10, 13, 19, 25]","[1, 8, 14, 18, 27]"
Beef with 15 segments for 11 permutations and nobottleneck,0.49133339578093,20.4945349143279,105.35743103655,43.980442541478,84.8628961222223,12,9,"[32.51056718878062, 22.243739028510056, 20.494534914327872, 21.323076231142057, 31.61673371304478]","[103.25415234326172, 105.35743103655014, 47.407645938607864, 42.793898239678875, 77.14635035600637]","[62.74248693690527, 44.668478163895635, 29.38200452329944, 33.517887751084785, 49.59135533220499]","[70.74358515448111, 83.11369200804009, 26.913111024279992, 21.470822008536818, 45.529616642961585]","[0, 10, 12, 23, 27]","[4, 9, 15, 21, 26]"
Beef with 15 segments for 12 permutations and nobottleneck,0.329903302569429,17.9151277414014,95.0449100436478,39.8441850713322,77.1297823022465,23,5,"[24.415567488951055, 21.886828374734243, 19.650081089435336, 17.91512774140136, 20.599496394507174]","[95.04491004364782, 68.04496118965642, 52.73634897952021, 50.36217347162768, 60.705094447776666]","[63.286397413669754, 35.93480920551061, 31.19880650284483, 33.16022632071222, 35.64068591392369]","[70.62934255469676, 46.158132814922176, 33.08626789008487, 32.44704573022632, 40.10559805326949]","[0, 11, 16, 23, 25]","[5, 9, 14, 18, 26]"
Beef with 15 segments for 13 permutations and nobottleneck,0.526571361979638,19.5655623203179,172.564029173636,56.7373084925676,152.998466853318,19,4,"[44.6704575831856, 21.490441054915514, 21.880717918431515, 19.565562320317934, 21.772969781831666]","[172.5640291736362, 112.94088734487559, 69.49167175948207, 60.6486462028492, 50.11682485158633]","[120.98331511182187, 41.27633170814654, 45.70384063789416, 38.00164037813962, 37.72141462683561]","[127.89357159045059, 91.45044628996007, 47.61095384105056, 41.08308388253127, 28.343855069754664]","[0, 11, 17, 19, 28]","[4, 9, 14, 20, 27]"
Beef with 15 segments for 14 permutations and nobottleneck,0.360751216060413,14.8595415613161,125.898229305789,43.1863077388628,111.038687744473,28,4,"[34.84240618980397, 16.9360008727067, 21.09956492536388, 23.8408505086402, 14.85954156131606]","[125.89822930578923, 75.46128443397907, 31.28933381181781, 49.23837202788007, 73.59459117601564]","[74.66897770875046, 36.47747646146112, 27.060892461058824, 34.196811013320286, 43.52738104972352]","[91.05582311598526, 58.525283561272374, 10.18976888645393, 25.397521519239866, 58.73504961469958]","[0, 6, 17, 23, 28]","[4, 9, 12, 20, 24]"
Beef with 15 segments for 15 permutations and nobottleneck,0.388669879636751,14.8788549953922,114.466637183136,38.8744093905624,99.5877821877441,25,1,"[28.317853350377412, 15.065255266425504, 19.04162923208586, 24.80263115095418, 14.878854995392173]","[114.46663718313627, 85.69201687268082, 33.66038240141201, 63.9452040685329, 57.20553822937974]","[65.64251077115631, 34.19991987564838, 25.234347656156046, 36.46109596680579, 32.834172683045374]","[86.14878383275885, 70.62676160625531, 14.618753169326148, 39.14257291757872, 42.326683233987566]","[0, 10, 13, 23, 25]","[1, 9, 16, 20, 24]"
Beef with 16 segments for 1 permutations and bottleneck,0.835646465465963,54.9513966425514,215.85313095394,105.035229799138,160.901734311388,17,9,"[88.8278533143813, 64.38051672753225, 54.95139664255142, 65.84653680756567, 77.05185309184179]","[145.6900506120508, 215.8531309539396, 137.60146532501648, 153.8601816781611, 140.18569415918466]","[109.68712445894806, 107.67725646866101, 90.20000359982875, 110.32658335979545, 107.285181108457]","[56.86219729766951, 151.47261422640736, 82.65006868246505, 88.01364487059543, 63.13384106734287]","[0, 7, 17, 18, 25]","[3, 9, 15, 22, 24]"
Beef with 16 segments for 1 permutations and nobottleneck,0.894035772054041,22.6878253864288,159.655721723531,86.1338414127309,136.967896337102,11,12,"[51.48809166425281, 22.687825386428827, 30.672182271200846, 25.31842136958928, 36.73667588157276]","[133.63665539938344, 108.82174714432033, 159.65572172353117, 132.0612030149163, 108.09190891461338]","[104.75065098655246, 63.35879413339493, 107.54603194740645, 83.24461449386206, 71.76911550243837]","[82.14856373513064, 86.1339217578915, 128.98353945233032, 106.742781645327, 71.35523303304063]","[5, 11, 17, 23, 25]","[3, 6, 12, 21, 24]"
Beef with 16 segments for 2 permutations and nobottleneck,0.714116506352781,20.2699993216365,159.439495900662,78.2767513739197,139.169496579026,17,2,"[56.46885567157166, 33.717202852144624, 20.26999932163647, 42.96176925697688, 28.76282626687946]","[159.43949590066228, 130.18700029765708, 100.94298349711686, 88.3545621965097, 119.56097622735888]","[98.96652365011202, 70.65821072001619, 73.13935084368828, 76.58942894785227, 72.0302427079295]","[102.97064022909062, 96.46979744551246, 80.6729841754804, 45.392792939532825, 90.79814996047942]","[0, 10, 17, 22, 28]","[2, 9, 16, 21, 29]"
Beef with 16 segments for 3 permutations and nobottleneck,0.627588408236689,21.0190676113865,178.067058884909,65.2744510358308,157.047991273522,7,2,"[41.882004696649204, 21.019067611386504, 30.368003094629223, 24.85069937265958, 26.99367146660208]","[178.06705888490896, 107.40495202889377, 67.5302701299192, 93.00637381299913, 74.97531270641731]","[108.98344954220153, 57.17060598907676, 47.4181643493379, 64.36428668728463, 48.435748611253295]","[136.18505418825976, 86.38588441750727, 37.16226703528998, 68.15567444033955, 47.98164123981523]","[0, 7, 13, 22, 26]","[2, 9, 12, 20, 24]"
Beef with 16 segments for 4 permutations and nobottleneck,0.623587236593053,19.7117057553446,139.219759397813,69.153155725575,119.508053642468,19,1,"[66.1238120482403, 27.279599825971175, 28.302516163471452, 19.711705755344592, 25.986046080950477]","[139.21975939781282, 111.09034770428005, 106.39820519024322, 66.81986109054964, 85.90858381252794]","[109.55044545215952, 65.05962648258861, 62.9964076426356, 53.66967963269857, 54.489619417792625]","[73.09594734957253, 83.81074787830887, 78.09568902677177, 47.10815533520504, 59.922537731577464]","[0, 10, 13, 19, 25]","[1, 9, 16, 21, 28]"
