Test Type,RMSE,DTW min values,DTW max values,DTW avg values,DTW range values,min index,max index,DTW min values by class,DTW max values by class,DTW avg values by class,DTW range values by class,min index by class,max index by class
Beef with 5 segments for 1 permutations and bottleneck,1.25883935818457,154.978575102423,288.499347496236,219.227095589759,133.520772393814,5,2,"[154.97857510242284, 164.6437852713412, 166.54795912059421, 169.4241665514424, 185.89671890756844]","[288.49934749623645, 249.730264603414, 259.97317185198204, 262.1600282553686, 268.15021125257596]","[234.02000685135053, 200.6854509134731, 222.52217088805378, 199.68814336397372, 239.2197059319419]","[133.52077239381362, 85.08647933207283, 93.42521273138783, 92.73586170392622, 82.25349234500752]","[5, 6, 13, 19, 27]","[2, 7, 17, 22, 25]"
Beef with 5 segments for 1 permutations and nobottleneck,1.12106425074829,58.8680882256005,306.268939884354,139.558167250972,247.400851658753,17,1,"[130.70782097011056, 67.8806853078242, 58.86808822560049, 126.8001317578336, 74.33556546480602]","[306.2689398843539, 164.863196317445, 166.78270855693904, 218.6794550466055, 213.22490749354876]","[179.01583635194802, 109.3549438242781, 125.29539237754388, 159.6602218205787, 124.46444188051022]","[175.56111891424337, 96.9825110096208, 107.91462033133855, 91.87932328877191, 138.88934202874273]","[3, 7, 17, 18, 26]","[1, 10, 13, 22, 28]"
Beef with 5 segments for 2 permutations and nobottleneck,1.03909050395638,63.6180987838965,239.369464360946,133.207577183151,175.75136557705,6,4,"[108.89630465007902, 63.618098783896535, 75.92935411808767, 96.06139889902542, 76.83386779682165]","[239.36946436094644, 171.00097228977722, 173.7337562720093, 152.00446479479112, 187.0930798753901]","[166.5958228285264, 119.64703614407358, 110.17981714146471, 120.42211602128204, 149.19309378041024]","[130.47315971086744, 107.3828735058807, 97.80440215392161, 55.9430658957657, 110.25921207856844]","[5, 6, 15, 20, 26]","[4, 10, 16, 22, 28]"
Beef with 5 segments for 3 permutations and nobottleneck,0.821024676652133,50.3929171248687,230.780365259376,116.739737207153,180.387448134507,15,1,"[65.92520075692374, 72.74060534454455, 50.39291712486871, 52.68316312320163, 93.81132287123944]","[230.7803652593757, 176.54011423278195, 150.79690682392965, 146.16432160703334, 157.16208958955846]","[160.42324947486165, 117.90404524036933, 111.27258276306662, 82.29478597955045, 111.80402257791661]","[164.85516450245197, 103.7995088882374, 100.40398969906093, 93.4811584838317, 63.35076671831902]","[0, 11, 15, 21, 27]","[1, 7, 13, 23, 25]"
Beef with 5 segments for 4 permutations and nobottleneck,0.789661290242762,47.5987069310012,207.149384871864,101.27888602955,159.550677940863,23,1,"[82.36398828970714, 71.02439764960153, 58.92145616209268, 47.598706931001196, 57.507665955765596]","[207.14938487186433, 141.00799089142765, 132.12632989393524, 108.07854957021453, 146.77725571241842]","[135.33388691365928, 102.47504719566507, 84.56815839413302, 80.18715448138819, 103.83018316290666]","[124.78539658215719, 69.98359324182613, 73.20487373184255, 60.47984263921334, 89.26958975665283]","[0, 11, 15, 23, 26]","[1, 9, 13, 18, 25]"
Beef with 5 segments for 5 permutations and nobottleneck,0.787472526038206,58.7024736689881,215.72509304697,107.835355618828,157.022619377982,18,4,"[84.60266635665235, 70.62548947145382, 67.13619007355854, 58.70247366898809, 78.0870103863916]","[215.72509304696982, 122.06266914193552, 168.10380673907386, 123.72681349239059, 199.53516208241817]","[134.83524869094728, 90.3594737556768, 111.91478782777769, 87.15151918243573, 114.91574863730169]","[131.12242669031747, 51.4371796704817, 100.96761666551532, 65.0243398234025, 121.44815169602657]","[0, 7, 14, 18, 26]","[4, 9, 17, 20, 29]"
Beef with 6 segments for 1 permutations and bottleneck,1.1808440103241,86.9360425369145,357.043260543749,163.322287268511,270.107218006835,17,1,"[119.25715837475744, 118.21306431653697, 86.93604253691454, 98.93023680012266, 119.7620695381105]","[357.0432605437491, 281.53834921972555, 194.32622407314128, 207.4724890974344, 292.12593244709774]","[176.74789199233, 168.44726276436248, 126.98286421298512, 152.63599650159378, 191.79742087128588]","[237.78610216899168, 163.32528490318856, 107.39018153622673, 108.54225229731173, 172.36386290898724]","[4, 6, 17, 21, 27]","[1, 7, 14, 23, 29]"
Beef with 6 segments for 1 permutations and nobottleneck,1.30971976550946,68.4029800873789,356.085269586216,162.070683827519,287.682289498837,0,28,"[68.40298008737886, 108.35068143219183, 90.39775287757716, 92.68169867053643, 129.72588460150504]","[183.33224787069017, 206.39763060882257, 237.01982633388664, 225.15222984634474, 356.0852695862159]","[137.95576373697114, 170.36705727426786, 152.72412973245915, 141.08719046989384, 208.21927792400197]","[114.9292677833113, 98.04694917663073, 146.62207345630947, 132.4705311758083, 226.35938498471083]","[0, 9, 15, 20, 25]","[4, 6, 14, 23, 28]"
Beef with 6 segments for 2 permutations and nobottleneck,0.939833957510631,44.0649534319522,256.825097325468,129.977836904706,212.760143893516,11,29,"[101.06548274497332, 44.06495343195221, 71.26342977704418, 57.25489424584143, 47.38553682562553]","[197.862901664259, 196.19316949026157, 220.15757795621184, 175.23878093126513, 256.8250973254681]","[150.7236581186507, 126.16238120775667, 125.32640518288203, 124.6826605430523, 122.99407947118641]","[96.79741891928568, 152.12821605830936, 148.89414817916764, 117.9838866854237, 209.43956049984257]","[4, 11, 12, 22, 28]","[1, 7, 17, 19, 29]"
Beef with 6 segments for 3 permutations and nobottleneck,0.847764311460005,75.2909892305899,263.052876342158,121.646137861156,187.761887111568,12,1,"[89.00674342750493, 79.4937509192204, 75.29098923058987, 77.40658055218353, 85.4757565347063]","[263.052876342158, 205.6154564984307, 159.84083936067032, 175.11344410528125, 181.12818868978553]","[139.17251702535287, 125.60690878885258, 106.24086525107401, 118.69223333486025, 118.51816490564174]","[174.04613291465307, 126.12170557921029, 84.54985013008044, 97.70686355309772, 95.65243215507923]","[5, 10, 12, 19, 27]","[1, 7, 17, 22, 29]"
Beef with 6 segments for 4 permutations and nobottleneck,0.810548334376383,36.3390056104611,207.455121386655,109.168691847986,171.116115776194,28,3,"[101.07103532108587, 46.20399609608983, 56.7128604174576, 58.93750017878656, 36.33900561046114]","[207.455121386655, 179.24390577565669, 196.69384269312778, 132.5158459538168, 148.0109348835751]","[139.66406638592932, 100.72374546148268, 120.93883817014114, 102.97429569220986, 81.54251353016465]","[106.38408606556914, 133.03990967956685, 139.9809822756702, 73.57834577503024, 111.67192927311395]","[2, 10, 14, 20, 28]","[3, 11, 17, 23, 29]"
Beef with 6 segments for 5 permutations and nobottleneck,0.829041795321189,49.6106804692028,229.653693343974,117.299832512532,180.043012874772,10,2,"[104.96492602242826, 49.61068046920284, 86.32687541550376, 66.41988038812116, 69.53528199865298]","[229.6536933439744, 119.48173707628644, 162.91005352027614, 162.93714655298845, 157.31714403638705]","[155.5731504005293, 92.0133531460304, 120.51460615578856, 101.68380341699584, 116.71424944331632]","[124.68876732154614, 69.8710566070836, 76.58317810477237, 96.5172661648673, 87.78186203773407]","[0, 10, 12, 19, 27]","[2, 11, 16, 22, 29]"
Beef with 6 segments for 6 permutations and nobottleneck,0.664396381794752,44.47126214784,198.895811115191,101.661678148049,154.424548967351,17,16,"[104.30280671164597, 68.85752258066441, 44.47126214784001, 74.86232680381588, 55.54616191835236]","[197.23410810892747, 123.3050000064296, 198.89581111519146, 145.70380985625417, 86.9609066650261]","[150.53109545577965, 86.92425318754137, 99.38116458814655, 100.3048811208249, 71.16699638795222]","[92.9313013972815, 54.447477425765186, 154.42454896735146, 70.84148305243829, 31.41474474667374]","[4, 8, 17, 21, 25]","[2, 9, 16, 19, 29]"
